Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
0.0173955,(-7.51145e-06,0.000148793),(0.000116489,0.000993192),0.0173955,1000,0.853455
0.0176051,(4.13632e-05,-0.000360458),(0.000320577,0.000947222),0.0176051,1000,1.33716
0.0178147,(-4.25939e-05,0.000262273),(0.000510635,0.000859798),0.0178147,1000,0.814308
0.0180243,(-5.57289e-06,0.000154538),(0.000678345,0.000734744),0.0180243,1000,0.896874
0.0182339,(4.11128e-05,-0.000105498),(0.000816367,0.000577534),0.0182339,1000,1.03322
0.0184434,(-4.45591e-05,0.000182488),(0.000918661,0.000395048),0.0184434,1000,0.986394
0.018653,(-3.55368e-06,0.00024861),(0.000980749,0.000195272),0.018653,1000,0.985747
0.0188626,(4.0733e-05,-0.000312909),(0.000999915,-1.30489e-05),0.0188626,1000,1.00496
0.0190722,(-4.64715e-05,0.000553563),(0.000975319,-0.000220799),0.0190722,1000,1.28207
0.0192818,(-1.45962e-06,0.000267152),(0.000908039,-0.000418886),0.0192818,1000,1.13923
0.0194914,(4.02232e-05,-0.0002866),(0.000801018,-0.00059864),0.0194914,1000,0.8223
0.0197009,(-4.83244e-05,0.000491188),(0.00065894,-0.000752195),0.0197009,1000,1.43046
0.0199105,(7.15369e-07,0.000822619),(0.000488024,-0.00087283),0.0199105,1000,1.76409
0.0201201,(0.00132172,-0.000970561),(0.00029575,-0.000955266),0.0201201,1000,1.02609
0.0203297,(-0.000505909,5.67788e-05),(9.05314e-05,-0.000995894),0.0203297,1000,1.2099
0.0205393,(-1.40687e-05,1.17207e-05),(-0.000118649,-0.000992936),0.0205393,1000,1.01009
0.0207489,(0.000445551,0.000243772),(-0.000322636,-0.000946523),0.0207489,1000,1.41666
0.0209585,(-0.000125432,-7.55597e-05),(-0.000512504,-0.000858685),0.0209585,1000,0.873561
0.021168,(-0.000235464,6.35076e-05),(-0.000679941,-0.000733267),0.021168,1000,0.912364
0.0213776,(0.000320015,-2.3145e-06),(-0.000817621,-0.000575757),0.0213776,1000,1.27399
0.0215872,(-0.000398699,0.000143625),(-0.000919518,-0.000393049),0.0215872,1000,0.747844
