Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
1.56e+06,(-0.00127872,-0.000888164),(0.000287428,-0.000957802),0.0326952,1000,1.5677
1.57e+06,(-0.0015652,-0.000931765),(8.18643e-05,-0.000996643),0.0329048,1000,1.64834
1.58e+06,(-0.00166633,-0.000933231),(-0.000127282,-0.000991867),0.0331144,1000,1.54017
1.59e+06,(-0.00183215,-0.000892499),(-0.000330858,-0.00094368),0.0333239,1000,1.50217
1.6e+06,(-0.00200876,-0.000811348),(-0.000519954,-0.000854194),0.0335335,1000,1.48942
1.61e+06,(-0.00203514,-0.000693323),(-0.000686294,-0.000727324),0.0337431,1000,1.34928
1.62e+06,(-0.00213334,-0.000543583),(-0.000822599,-0.000568622),0.0339527,1000,1.31098
1.63e+06,(-0.00218549,-0.000368671),(-0.000922902,-0.000385035),0.0341623,1000,1.2627
1.64e+06,(-0.00211072,-0.00017623),(-0.000982814,-0.000184596),0.0343719,1000,1.12794
1.65e+06,(-0.00209455,2.53333e-05),(-0.000999714,2.39214e-05),0.0345814,1000,1.09484
1.66e+06,(-0.00205735,0.000227214),(-0.000972861,0.000231392),0.034791,1000,1.0845
1.67e+06,(-0.00188394,0.000420595),(-0.00090343,0.000428736),0.0350006,1000,0.980547
1.68e+06,(-0.0017536,0.000597033),(-0.000794461,0.000607315),0.0352102,1000,0.959194
1.69e+06,(-0.0016844,0.000748825),(-0.000650722,0.000759316),0.0354198,1000,1.03373
1.7e+06,(-0.00148784,0.00086935),(-0.000478504,0.000878085),0.0356294,1000,1.00937
1.71e+06,(-0.00127584,0.000953352),(-0.000285344,0.000958425),0.0358389,1000,0.990514
1.72e+06,(-0.00120013,0.000997175),(-7.96965e-05,0.000996819),0.0360485,1000,1.12044
1.73e+06,(-0.00109506,0.000998919),(0.000129439,0.000991587),0.0362581,1000,1.22452
1.74e+06,(-0.000920596,0.000958523),(0.00033291,0.000942959),0.0364677,1000,1.2536
1.75e+06,(-0.000830861,0.000877772),(0.000521811,0.000853061),0.0366773,1000,1.3529
1.76e+06,(-0.000811563,0.00076021),(0.000687875,0.000725829),0.0368869,1000,1.49983
1.77e+06,(-0.00081552,0.000610993),(0.000823834,0.000566832),0.0370965,1000,1.63995
