X	    J0(x)	        Y0(x)
23.8	-0.085837144	-0.139193496
23.9	-0.071359239	-0.146761226
24	    -0.056230274	-0.152834029
24.1	-0.040603549	-0.157357686
24.2	-0.024636672	-0.160293598
24.3	-0.008489985	-0.161619103
24.4	0.007675047	    -0.161327634
24.5	0.023697434	    -0.159428718
24.6	0.039418261	    -0.15594782
24.7	0.054682256	    -0.150926023
24.8	0.069339315	    -0.144419557
24.9	0.083245968	    -0.136499184
25	    0.096266783	    -0.127249432
25.1	0.108275671	    -0.116767708
25.2	0.119157105	    -0.105163274
25.3	0.128807222	    -0.09255612
25.4	0.137134808	    -0.079075733
25.5	0.144062158	    -0.064859765
25.6	0.149525788	    -0.050052648
25.7	0.153477015	    -0.034804124
25.8	0.155882382	    -0.01926774
25.9	0.15672393	    -0.003599315
26	    0.155999316	    0.012044626
26.1	0.153721779	    0.027508398
26.2	0.14991995	    0.042638705
26.3	0.144637506	    0.057286151
26.4	0.137932678	    0.071306711
26.5	0.129877626	    0.084563136
26.6	0.120557661	    0.096926294
26.7	0.110070354	    0.108276421
26.8	0.09852452	    0.118504276
26.9	0.086039095	    0.127512187
27	    0.072741918	    0.135214976
27.1	0.058768428	    0.141540761
27.2	0.044260292	    0.146431621
27.3	0.029363974	    0.14984412
27.4	0.014229262	    0.151749684
27.5	-0.000992229	0.152134833
27.6	-0.016148574	0.151001261
27.7	-0.031089044	0.14836576
27.8	-0.045665602	0.144260004
27.9	-0.059734363	0.138730179
28	    -0.073157011	0.13183647
28.1	-0.085802147	0.123652419
28.2	-0.097546577	0.114264139
28.3	-0.108276505	0.103769423
28.4	-0.117888629	0.092276722
28.5	-0.126291131	0.079904039
28.6	-0.133404552	0.066777716
28.7	-0.139162535	0.053031151
28.8	-0.143512441	0.038803452
28.9	-0.146415824	0.02423803
29	    -0.147848765	0.00948116
29.1	-0.147802058	-0.005319482
29.2	-0.146281254	-0.02001629
29.3	-0.143306552	-0.034463198
29.4	-0.138912552	-0.048517125
29.5	-0.133147858	-0.062039385
29.6	-0.126074554	-0.074897057
29.7	-0.117767533	-0.086964277
29.8	-0.108313718	-0.098123477
29.9	-0.09781115	    -0.108266517
30	    -0.086367984	-0.117295732
